MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,372,706,2356,2065902,3C9BB122,20240924T134300,866784159657169890743882,20241006T080001,20241006T170321,387,304,125,53,69,18
71072,372,722,2020,2062878,326D0D22,20240924T151100,361734354303478012767986,20241006T080001,20241006T170701,379,241,104,44,45,14
71072,372,737,1953,2066055,0CF789E3,20240925T112200,927390533098842850707961,20241006T080001,20241006T171202,386,267,113,54,44,14
71072,372,744,1953,2066071,0CF789E3,20240925T112900,927390271698338399091320,20241006T080001,20241006T171122,388,271,131,40,51,12
71072,373,144,1260,2304755,01578603,20240927T154900,280937095290495176308315,20241006T080001,20241006T170129,260,184,74,32,39,9
71072,373,531,2119,2066450,5C0C646C,20240928T160100,088917852959576425358565,20241006T080001,20241006T170233,393,269,113,60,47,12
71072,374,554,1147,1832249,1500CA04,20240927T162000,190039437489704318922405,20241006T080001,20241006T170550,405,292,117,60,55,26
71072,374,608,1929,2377147,DCE89C42,20240929T134800,179837591081278206487370,20241006T080001,20241006T170046,393,274,125,53,39,37
71072,374,728,1961,2053046,D025D74B,20240928T140200,563776215477909069268622,20241006T080001,20241006T170249,286,208,97,33,31,40
71072,374,733,1376,2389580,DCE89C42,20240929T174400,088928253972344583868046,20241006T080001,20241006T170252,301,208,91,40,25,22
71072,374,765,1350,2077424,C2351F52,20240927T151500,765796362089429446243627,20241006T080001,20241006T170805,376,241,123,37,32,23
71072,375,364,1821,2073828,951E3237,20240928T144500,715202844313627827169908,20241006T080001,20241006T171005,345,281,132,51,41,15
71072,375,398,1821,2011211,951E3237,20240928T150000,260757049868579008576818,20241006T080001,20241006T170838,338,264,113,49,53,16
71072,375,553,1961,2074374,F8ADDE44,20240927T121800,563787692101105806608032,20241006T080228,20241006T170823,350,266,107,46,60,12
71072,375,738,2097,2377756,737EF378,20240925T112000,705101420782489331401182,20241006T080001,20241006T171034,333,240,98,51,43,12
71072,376,413,2003,2073139,7376FA05,20240927T122800,482990249117111110136211,20241006T080001,20241006T170203,379,289,118,57,55,18
71072,376,453,2003,2074472,7376FA05,20240927T124400,361778409005891934135576,20241006T080001,20241006T170458,388,288,116,60,61,12
